Country Name,Year,Water,Life
Aruba,1960,,64.152
Africa Eastern and Southern,1960,,44.0855518454965
Afghanistan,1960,,32.535
Africa Western and Central,1960,,37.8451516181524
Angola,1960,,38.211
Albania,1960,,54.439
Andorra,1960,,
Arab World,1960,,44.9728986516699
United Arab Emirates,1960,,48.811
Argentina,1960,,63.978
Armenia,1960,,61.431
American Samoa,1960,,
Antigua and Barbuda,1960,,61.55
Australia,1960,,70.8170731707317
Austria,1960,,68.5856097560976
Azerbaijan,1960,,55.837
Burundi,1960,,43.024
Belgium,1960,,69.7019512195122
Benin,1960,,38.181
Burkina Faso,1960,,35.872
Bangladesh,1960,,44.74
Bulgaria,1960,,69.2475609756098
Bahrain,1960,,50.33
"Bahamas, The",1960,,62.896
Bosnia and Herzegovina,1960,,61.037
Belarus,1960,,69.2546097560976
Belize,1960,,58.163
Bermuda,1960,,67.162
Bolivia,1960,,43.1
Brazil,1960,,52.66
Barbados,1960,,64.564
Brunei Darussalam,1960,,56.793
Bhutan,1960,,33.465
Botswana,1960,,50.372
Central African Republic,1960,,39.236
Canada,1960,,71.1331707317073
Central Europe and the Baltics,1960,,67.9339519629045
Switzerland,1960,,71.3134146341463
Channel Islands,1960,,71.47
Chile,1960,,57.015
China,1960,,33.275
Cote d'Ivoire,1960,,38.108
Cameroon,1960,,34.819
"Congo, Dem. Rep.",1960,,40.857
"Congo, Rep.",1960,,47.979
Colombia,1960,,57.13
Comoros,1960,,39.694
Cabo Verde,1960,,49.411
Costa Rica,1960,,60.415
Caribbean small states,1960,,61.829493973711
Cuba,1960,,64.173
Curacao,1960,,65.7780243902439
Cayman Islands,1960,,
Cyprus,1960,,64.187
Czechia,1960,,70.3487804878049
Germany,1960,,69.0640731707317
Djibouti,1960,,43.429
Dominica,1960,,59.026
Denmark,1960,,72.1765853658537
Dominican Republic,1960,,50.264
Algeria,1960,,40.532
East Asia & Pacific (excluding high income),1960,,37.7540701310687
Early-demographic dividend,1960,,46.8792437300227
East Asia & Pacific,1960,,41.638256581189
Europe & Central Asia (excluding high income),1960,,64.4397465181365
Europe & Central Asia,1960,,67.4785719106391
Ecuador,1960,,53.364
"Egypt, Arab Rep.",1960,,45.373
Euro area,1960,,69.2258617691676
Eritrea,1960,,37.5
Spain,1960,,69.1092682926829
Estonia,1960,,68.933512195122
Ethiopia,1960,,40.33
European Union,1960,,69.0376063612116
Fragile and conflict affected situations,1960,,46.2252043264952
Finland,1960,,68.819756097561
Fiji,1960,,57.588
France,1960,,69.8682926829268
Faroe Islands,1960,,
"Micronesia, Fed. Sts.",1960,,56.409
Gabon,1960,,46.575
United Kingdom,1960,,71.1268292682927
Georgia,1960,,61.222
Ghana,1960,,47.096
Gibraltar,1960,,69.309
Guinea,1960,,36.547
"Gambia, The",1960,,35.098
Guinea-Bissau,1960,,37.464
Equatorial Guinea,1960,,41.729
Greece,1960,,69.3
Grenada,1960,,60.76
Greenland,1960,,
Guatemala,1960,,45.808
Guam,1960,,60.897
Guyana,1960,,58.034
High income,1960,,68.4146421474973
"Hong Kong SAR, China",1960,,65.8662926829268
Honduras,1960,,48.317
Heavily indebted poor countries (HIPC),1960,,40.7432026829806
Croatia,1960,,65.4823658536585
Haiti,1960,,43.499
Hungary,1960,,68.0031707317073
IBRD only,1960,,45.8315473913406
IDA & IBRD total,1960,,45.3201201687757
IDA total,1960,,42.8459198692258
IDA blend,1960,,43.1313289141886
Indonesia,1960,,46.452
IDA only,1960,,42.7201800464958
Isle of Man,1960,,64.409
India,1960,,45.218
Not classified,1960,,
Ireland,1960,,70.1942682926829
"Iran, Islamic Rep.",1960,,43.957
Iraq,1960,,52.618
Iceland,1960,,73.7620487804878
Israel,1960,,
Italy,1960,,69.1239024390244
Jamaica,1960,,64.042
Jordan,1960,,52.617
Japan,1960,,67.6956097560976
Kazakhstan,1960,,58.370512195122
Kenya,1960,,48.68
Kyrgyz Republic,1960,,55.0830243902439
Cambodia,1960,,42.361
Kiribati,1960,,47.873
St. Kitts and Nevis,1960,,55.909
"Korea, Rep.",1960,,54.320243902439
Kuwait,1960,,56.919
Latin America & Caribbean (excluding high income),1960,,54.4949359735257
Lao PDR,1960,,40.79
Lebanon,1960,,64.841
Liberia,1960,,38.33
Libya,1960,,40.268
St. Lucia,1960,,55.724
Latin America & Caribbean,1960,,55.1538790352586
Least developed countries: UN classification,1960,,41.2285136154435
Low income,1960,,41.0851215707504
Liechtenstein,1960,,
Sri Lanka,1960,,60.699
Lower middle income,1960,,46.8565916363135
Low & middle income,1960,,44.7907927789383
Lesotho,1960,,50.364
Late-demographic dividend,1960,,43.8342249301355
Lithuania,1960,,69.8473170731707
Luxembourg,1960,,68.5925365853659
Latvia,1960,,69.7868292682927
"Macao SAR, China",1960,,64.965
St. Martin (French part),1960,,67.865
Morocco,1960,,42.017
Monaco,1960,,
Moldova,1960,,61.074
Madagascar,1960,,43.241
Maldives,1960,,38.529
Middle East & North Africa,1960,,44.7575728227675
Mexico,1960,,55.017
Marshall Islands,1960,,53.821
Middle income,1960,,45.0295181590185
North Macedonia,1960,,56.2230487804878
Mali,1960,,29.754
Malta,1960,,68.2142926829268
Myanmar,1960,,43.906
Middle East & North Africa (excluding high income),1960,,44.6211493380158
Montenegro,1960,,64.8736097560976
Mongolia,1960,,44.984
Northern Mariana Islands,1960,,
Mozambique,1960,,41.221
Mauritania,1960,,44.767
Mauritius,1960,,55.4665365853659
Malawi,1960,,35.199
Malaysia,1960,,56.502
North America,1960,,69.8929953078739
Namibia,1960,,47.679
New Caledonia,1960,,58.6390243902439
Niger,1960,,36.404
Nigeria,1960,,37.371
Nicaragua,1960,,46.125
Netherlands,1960,,73.3926829268293
Norway,1960,,73.549756097561
Nepal,1960,,38.559
Nauru,1960,,58.572
New Zealand,1960,,71.2365853658537
OECD members,1960,,67.3062200884689
Oman,1960,,35.45
Other small states,1960,,51.931331934281
Pakistan,1960,,44.932
Panama,1960,,60.702
Peru,1960,,50.495
Philippines,1960,,59.227
Palau,1960,,
Papua New Guinea,1960,,45.679
Poland,1960,,67.6804878048781
Pre-demographic dividend,1960,,39.8560673553553
Puerto Rico,1960,,68.934
"Korea, Dem. People's Rep.",1960,,54.05
Portugal,1960,,64.0074634146342
Paraguay,1960,,60.423
West Bank and Gaza,1960,,
Pacific island small states,1960,,54.5350213058719
Post-demographic dividend,1960,,68.8656660173571
French Polynesia,1960,,59.675
Qatar,1960,,58.933
Romania,1960,,65.8605365853659
Russian Federation,1960,,67.4652195121951
Rwanda,1960,,47.178
South Asia,1960,,45.1023665758608
Saudi Arabia,1960,,45.94
Sudan,1960,,46.603
Senegal,1960,,39.878
Singapore,1960,,64.6946829268293
Solomon Islands,1960,,47.741
Sierra Leone,1960,,33.961
El Salvador,1960,,48.084
San Marino,1960,,
Somalia,1960,,43.452
Serbia,1960,,63.934
Sub-Saharan Africa (excluding high income),1960,,41.4225457764481
South Sudan,1960,,28.662
Sub-Saharan Africa,1960,,41.4225457764481
Small states,1960,,55.0452721544717
Sao Tome and Principe,1960,,43.04
Suriname,1960,,57.102
Slovak Republic,1960,,70.2697804878049
Slovenia,1960,,68.9780487804878
Sweden,1960,,73.0056097560976
Eswatini,1960,,45.813
Sint Maarten (Dutch part),1960,,66.246
Seychelles,1960,,
Syrian Arab Republic,1960,,53.547
Turks and Caicos Islands,1960,,55.032
Chad,1960,,38.374
East Asia & Pacific (IDA & IBRD countries),1960,,37.5395084679193
Europe & Central Asia (IDA & IBRD countries),1960,,64.8506329147059
Togo,1960,,42.692
Thailand,1960,,51.035
Tajikistan,1960,,53.628
Turkmenistan,1960,,53.469
Latin America & the Caribbean (IDA & IBRD countries),1960,,54.6593273046278
Timor-Leste,1960,,32.2
Middle East & North Africa (IDA & IBRD countries),1960,,44.6211493380158
Tonga,1960,,58.231
South Asia (IDA & IBRD),1960,,45.1023665758608
Sub-Saharan Africa (IDA & IBRD countries),1960,,41.4225457764481
Trinidad and Tobago,1960,,63.026
Tunisia,1960,,43.94
Turkiye,1960,,50.74
Tuvalu,1960,,46.355
Tanzania,1960,,42.937
Uganda,1960,,45.506
Ukraine,1960,,69.4850487804878
Upper middle income,1960,,43.652138732026
Uruguay,1960,,67.772
United States,1960,,69.7707317073171
Uzbekistan,1960,,57.473
St. Vincent and the Grenadines,1960,,56.443
"Venezuela, RB",1960,,58.647
British Virgin Islands,1960,,59.564
Virgin Islands (U.S.),1960,,63.7459756097561
Viet Nam,1960,,59.657
Vanuatu,1960,,49.63
World,1960,,50.8941796871232
Samoa,1960,,54.688
Kosovo,1960,,61.485
"Yemen, Rep.",1960,,33.678
South Africa,1960,,52.669
Zambia,1960,,49.042
Zimbabwe,1960,,53.235
Aruba,1961,,64.537
Africa Eastern and Southern,1961,,44.386696928982
Afghanistan,1961,,33.068
Africa Western and Central,1961,,38.1649497795417
